#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
granted_dragon_status;Granted Family Dragon Rider Priviledge;;;x
grant_family_dragon_status;Grant Family Dragon Rider Priviledge;;;x
grant_family_dragon_status_desc;Allow all members of House [Root.GetOnlyDynastyName] to tame dragons freely. This designation can be revoked individually but not for the whole family.;;;x

dragon_love;Bonded with Dragon;;;x
dragon_love_desc;This character has bonded with their dragon. Some say those bound to a dragon never ride another in their lifetime...;;;x
ca_asoiaf_valyria_road_1;Valyrian Roads;;;x
ca_asoiaf_valyria_road_1_desc;Broad stone highways built in Valyria. They are straight and usually run from one economic center to another, allowing swift transport of goods.;;;x
bring_dragon_to_court;Move Dragon to Court;;;x
title_dragon_tamer;Dragon Tamer;Chevaucheur de Dragon;;;;;;;;;;;;x
title_dragon_tamer_desc;This minor character is allowed to tame a Dragon.;Ce personnage est autorisé à chevaucher un dragon.;;;;;;;;;;;;x
dragon_tamer;Dragon Tamers;Chevaucheur de Dragon;;;;;;;;;;;;x
dragon_tamer_desc;Who are allowed to tame dragons in the realm.;Qui est autorisé à chevaucher des dragons dans le royaume ?;;;;;;;;;;;;x
dragon_tamer_0;Free Dragon Tamers;Chevaucheur de Dragon Libre;;;;;;;;;;;;x
dragon_tamer_0_option;Free;Libre;;;;;;;;;;;;x
dragon_tamer_0_desc;Dragons are freely tamed;Les dragons sont librement chevauchés;;;;;;;;;;;;x
dragon_tamer_1;Appointed Dragon Tamers;Chevaucheur de Dragon nommé;;;;;;;;;;;;x
dragon_tamer_1_option;Appointed;nommé;;;;;;;;;;;;x
dragon_tamer_1_desc;Dragon tamers are to be appointed.;Les chevaucheurs de dragon sont nommés;;;;;;;;;;;;x
dragon_tamer_2;Valyrian Propaganda;Propagande Vayrienne;;;;;;;;;;;;x
dragon_tamer_2_option;Blood;Sang;;;;;;;;;;;;x
dragon_tamer_2_desc;Only the Throne's House can tame dragons.;Seul la famille royale peut chevaucher les dragons;;;;;;;;;;;;x
steal_dragon;Claim a Dragon;Voler un dragon;;;;;;;;;;;;x
steal_dragon_desc;You are a Dragon Rider. Claim [Root.GetFirstName] as your own.;Tenter de voler un dragon, sachez que l'opération est TRES risqué.;;;;;;;;;;;;x
steal_dragon_named;Claim [Root.GetFirstName];Voler [Root.GetFirstName];;;;;;;;;;;;x
revoke_dragon;Revoke a Dragon;Renvoyer un dragon;;;;;;;;;;;;x
revoke_dragon_desc;[Root.GetFirstName] is an illegal dragon rider, so you can confiscate [Root.GetHerHis] dragon rider status.;[Root.GetFirstName] est un chevaucheur illégal de dragon, vous pouvez confisquer [Root.GetHerHis] et son status de chevaucheur de dragon.;;;;;;;;;;;;x
