#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
plot_replace_castellan_title;Replace [Root.GetTitledFirstNameWithDynasty] as [From.Liege.GetMyCastellanName];Remplacer [Root.GetTitledFirstNameWithDynasty] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstNameWithDynasty] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_castellan_desc;[From.GetTitledFirstNameWithDynasty] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstNameWithDynasty];[From.GetTitledFirstNameWithDynasty] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstNameWithDynasty].;;;[From.GetTitledFirstName] [Root.GetOnlyDynastyName] cree que podría ser un mejor [Root.GetJobTitle] que [Root.PlotTarget.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
plot_replace_chancellor_title;Replace [Root.GetTitledFirstNameWithDynasty] as [From.Liege.GetMyChancellorName];Remplacer [Root.GetTitledFirstNameWithDynasty] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstNameWithDynasty] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_chancellor_desc;[From.GetTitledFirstNameWithDynasty] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstNameWithDynasty];[From.GetTitledFirstNameWithDynasty] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstNameWithDynasty].;;;[From.GetTitledFirstNameWithDynasty] cree que podría ser un mejor [Root.GetJobTitle] que [Root.PlotTarget.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
plot_replace_marshal_title;Replace [Root.GetTitledFirstNameWithDynasty] as [From.Liege.GetMyMarshalName];Remplacer [Root.GetTitledFirstNameWithDynasty] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstNameWithDynasty] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_marshal_desc;[From.GetTitledFirstNameWithDynasty] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstNameWithDynasty];[From.GetTitledFirstNameWithDynasty] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstNameWithDynasty].;;;[From.GetTitledFirstNameWithDynasty] cree que podría ser un mejor [Root.GetJobTitle] que [Root.PlotTarget.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
plot_replace_treasurer_title;Replace [Root.GetTitledFirstNameWithDynasty] as [From.Liege.GetMyTreasurerName];Remplacer [Root.GetTitledFirstNameWithDynasty] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstNameWithDynasty] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_treasurer_desc;[From.GetTitledFirstNameWithDynasty] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstNameWithDynasty];[From.GetTitledFirstNameWithDynasty] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstNameWithDynasty].;;;[From.GetTitledFirstNameWithDynasty] cree que podría ser un mejor [Root.GetJobTitle] que [Root.PlotTarget.GetTitledFirstName] [Root.GetOnlyDynastyName].;;;;;;;;;x
plot_replace_spymaster_title;Replace [Root.GetTitledFirstNameWithDynasty] as [From.Liege.GetMySpymasterName];Remplacer [Root.GetTitledFirstNameWithDynasty] comme [Root.GetJobTitle];;;Reemplazar a [Root.GetTitledFirstNameWithDynasty] como [Root.GetJobTitle];;;;;;;;;x
plot_replace_spymaster_desc;[From.GetTitledFirstNameWithDynasty] believes that [From.GetSheHe] would be a better [Root.GetJobTitle] than [Root.GetTitledFirstNameWithDynasty];[From.GetTitledFirstNameWithDynasty] pense qu'[From.GetSheHe] ferait un(e) meilleur(e) [Root.GetJobTitle] que [Root.GetTitledFirstNameWithDynasty].;;;[From.GetTitledFirstNameWithDynasty] cree que podría ser un mejor [Root.GetJobTitle] que [Root.GetTitledFirstNameWithDynasty].;;;;;;;;;x
plot_replace_councillor_title;Replace [Root.GetTitledFirstNameWithDynasty] as a Councillor;Remplacer [Root.GetTitledFirstName] comme châtelain;;;Reemplazar a [Root.GetTitledFirstNameWithDynasty] como Consejero;;;;;;;;;x
